,Symbol,Name,Industry,IndustryCode
3120,LIFE,aTyr Pharma Inc,생명과학 및 메디컬 리서치,562020
3121,RKDA,Arcadia Biosciences Inc,화학,511010
3122,OTEL,Otelco Inc Class A,통신 서비스,574010
3123,HUGE,FSD Pharma Inc Class B,제약,562010
3124,CLBS,Caladrius Biosciences Inc,생명과학 및 메디컬 리서치,562020
3125,PMD,Psychemedics Corp,헬스케어 업체 및 서비스,561020
3126,AUTO,Autoweb Inc,미디어 및 출판,533020
3127,ADTX,ADiTx Therapeutics Inc,생명과학 및 메디컬 리서치,562020
3128,MTEX,Mannatech Inc,식품 및 담배,541020
3129,AUVI,Applied UV Inc,"건설장비 및 대형차, 기차, 배",521020
3130,PNBK,Patriot National Bancorp Inc,은행,551010
3131,LIXT,Lixte Biotechnology Holdings Inc,생명과학 및 메디컬 리서치,562020
3132,ALIM,Alimera Sciences Inc,제약,562010
3133,PTVCA,Protective Insurance Corp Class A,보험,553010
3134,CYCC,Cyclacel Pharmaceuticals Inc,생명과학 및 메디컬 리서치,562020
3135,PRFX,PainReform Ltd,제약,562010
3136,IMRN,Immuron Ltd ADR,제약,562010
3137,EDTK,Skillful Craftsman Education Technology Ltd,비즈니스교육,631030
3138,HSON,Hudson Global Inc,전문 및 상업 서비스,522030
